Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
1476.2,12.75,18.73,0.05339,4453.9,5134.6,8.1025,2.1569,2.6508,914.35,0.70984,undefined,undefined,vapor
1479.1,12.75,18.692,0.053498,4460.1,5142.2,8.1076,2.1584,2.6521,915.2,0.70521,undefined,undefined,vapor
1481.9,12.75,18.655,0.053605,4466.4,5149.8,8.1128,2.1599,2.6534,916.06,0.70062,undefined,undefined,vapor
1484.8,12.75,18.617,0.053713,4472.6,5157.5,8.1179,2.1614,2.6547,916.92,0.69605,undefined,undefined,vapor
1487.7,12.75,18.58,0.053821,4478.9,5165.1,8.1231,2.1629,2.656,917.77,0.69152,undefined,undefined,vapor
1490.6,12.75,18.543,0.053928,4485.2,5172.8,8.1282,2.1644,2.6573,918.63,0.68702,undefined,undefined,vapor
1493.5,12.75,18.506,0.054036,4491.5,5180.4,8.1333,2.1659,2.6586,919.48,0.68255,undefined,undefined,vapor
1496.3,12.75,18.469,0.054144,4497.7,5188.1,8.1385,2.1674,2.6599,920.33,0.6781,undefined,undefined,vapor
1499.2,12.75,18.433,0.054251,4504,5195.7,8.1436,2.1689,2.6612,921.18,0.67369,undefined,undefined,vapor
1502.1,12.75,18.396,0.054359,4510.3,5203.4,8.1487,2.1704,2.6625,922.03,0.66931,undefined,undefined,vapor
1505,12.75,18.36,0.054466,4516.6,5211.1,8.1538,2.1719,2.6638,922.88,0.66496,undefined,undefined,vapor
1507.9,12.75,18.324,0.054574,4522.9,5218.7,8.1589,2.1734,2.6651,923.73,0.66064,undefined,undefined,vapor
1510.7,12.75,18.288,0.054681,4529.2,5226.4,8.164,2.1749,2.6664,924.58,0.65634,undefined,undefined,vapor
1513.6,12.75,18.252,0.054789,4535.5,5234.1,8.169,2.1764,2.6677,925.42,0.65208,undefined,undefined,vapor
1516.5,12.75,18.216,0.054896,4541.8,5241.8,8.1741,2.1779,2.669,926.27,0.64784,undefined,undefined,vapor
1519.4,12.75,18.181,0.055004,4548.1,5249.4,8.1792,2.1793,2.6703,927.11,0.64363,undefined,undefined,vapor
1522.2,12.75,18.145,0.055111,4554.5,5257.1,8.1842,2.1808,2.6716,927.96,0.63945,undefined,undefined,vapor
